date,product_id,warehouse_id,strategy,demand,inbound_units,actual_outbound,inventory_level,unmet_demand,stockout_flag
2024-01-01,P001,WH1,Hybrid A,26,0,26,224,0,False
2024-01-01,P002,WH1,Hybrid A,12,0,12,238,0,False
2024-01-01,P003,WH1,Hybrid A,28,0,28,222,0,False
2024-01-01,P004,WH1,Hybrid A,11,0,11,239,0,False
2024-01-01,P005,WH1,Hybrid A,23,0,23,227,0,False
2024-01-01,P006,WH1,Hybrid A,21,0,21,59,0,False
2024-01-01,P007,WH1,Hybrid A,6,0,6,74,0,False
2024-01-01,P008,WH1,Hybrid A,6,0,6,74,0,False
2024-01-01,P009,WH1,Hybrid A,9,0,9,71,0,False
2024-01-01,P010,WH1,Hybrid A,6,0,6,74,0,False
2024-01-01,P011,WH1,Hybrid A,13,0,13,27,0,False
2024-01-01,P012,WH1,Hybrid A,6,0,6,34,0,False
2024-01-01,P013,WH1,Hybrid A,11,0,11,29,0,False
2024-01-01,P014,WH1,Hybrid A,1,0,1,39,0,False
2024-01-01,P015,WH1,Hybrid A,9,0,9,31,0,False
2024-01-02,P001,WH1,Hybrid A,16,0,16,208,0,False
2024-01-02,P002,WH1,Hybrid A,36,0,36,202,0,False
2024-01-02,P003,WH1,Hybrid A,36,0,36,186,0,False
2024-01-02,P004,WH1,Hybrid A,4,0,4,235,0,False
2024-01-02,P005,WH1,Hybrid A,9,0,9,218,0,False
2024-01-02,P006,WH1,Hybrid A,9,0,9,50,0,False
2024-01-02,P007,WH1,Hybrid A,8,0,8,66,0,False
2024-01-02,P008,WH1,Hybrid A,4,0,4,70,0,False
2024-01-02,P009,WH1,Hybrid A,14,0,14,57,0,False
2024-01-02,P010,WH1,Hybrid A,7,0,7,67,0,False
2024-01-02,P011,WH1,Hybrid A,5,0,5,22,0,False
2024-01-02,P012,WH1,Hybrid A,5,0,5,29,0,False
2024-01-02,P013,WH1,Hybrid A,4,0,4,25,0,False
2024-01-02,P014,WH1,Hybrid A,7,0,7,32,0,False
2024-01-02,P015,WH1,Hybrid A,7,0,7,24,0,False
2024-01-03,P001,WH1,Hybrid A,27,0,27,181,0,False
2024-01-03,P002,WH1,Hybrid A,15,0,15,187,0,False
2024-01-03,P003,WH1,Hybrid A,1,0,1,185,0,False
2024-01-03,P004,WH1,Hybrid A,37,0,37,198,0,False
2024-01-03,P005,WH1,Hybrid A,28,0,28,190,0,False
2024-01-03,P006,WH1,Hybrid A,4,0,4,46,0,False
2024-01-03,P007,WH1,Hybrid A,13,0,13,53,0,False
2024-01-03,P008,WH1,Hybrid A,19,0,19,51,0,False
2024-01-03,P009,WH1,Hybrid A,13,0,13,44,0,False
2024-01-03,P010,WH1,Hybrid A,19,0,19,48,0,False
2024-01-03,P011,WH1,Hybrid A,8,0,8,14,0,False
2024-01-03,P012,WH1,Hybrid A,3,0,3,26,0,False
2024-01-03,P013,WH1,Hybrid A,1,0,1,24,0,False
2024-01-03,P014,WH1,Hybrid A,3,0,3,29,0,False
2024-01-03,P015,WH1,Hybrid A,0,0,0,24,0,False
2024-01-04,P001,WH1,Hybrid A,26,0,26,155,0,False
2024-01-04,P002,WH1,Hybrid A,33,0,33,154,0,False
2024-01-04,P003,WH1,Hybrid A,8,0,8,177,0,False
2024-01-04,P004,WH1,Hybrid A,34,0,34,164,0,False
2024-01-04,P005,WH1,Hybrid A,19,0,19,171,0,False
2024-01-04,P006,WH1,Hybrid A,10,0,10,36,0,False
2024-01-04,P007,WH1,Hybrid A,5,0,5,48,0,False
2024-01-04,P008,WH1,Hybrid A,12,0,12,39,0,False
2024-01-04,P009,WH1,Hybrid A,13,0,13,31,0,False
2024-01-04,P010,WH1,Hybrid A,13,0,13,35,0,False
2024-01-04,P011,WH1,Hybrid A,2,0,2,12,0,False
2024-01-04,P012,WH1,Hybrid A,0,0,0,26,0,False
2024-01-04,P013,WH1,Hybrid A,9,0,9,15,0,False
2024-01-04,P014,WH1,Hybrid A,0,0,0,29,0,False
2024-01-04,P015,WH1,Hybrid A,4,0,4,20,0,False
2024-01-05,P001,WH1,Hybrid A,39,0,39,116,0,False
2024-01-05,P002,WH1,Hybrid A,31,0,31,123,0,False
2024-01-05,P003,WH1,Hybrid A,22,0,22,155,0,False
2024-01-05,P004,WH1,Hybrid A,13,0,13,151,0,False
2024-01-05,P005,WH1,Hybrid A,43,0,43,128,0,False
2024-01-05,P006,WH1,Hybrid A,4,0,4,32,0,False
2024-01-05,P007,WH1,Hybrid A,27,0,27,21,0,False
2024-01-05,P008,WH1,Hybrid A,15,0,15,24,0,False
2024-01-05,P009,WH1,Hybrid A,12,0,12,19,0,False
2024-01-05,P010,WH1,Hybrid A,11,0,11,24,0,False
2024-01-05,P011,WH1,Hybrid A,3,0,3,9,0,False
2024-01-05,P012,WH1,Hybrid A,0,0,0,26,0,False
2024-01-05,P013,WH1,Hybrid A,0,0,0,15,0,False
2024-01-05,P014,WH1,Hybrid A,8,0,8,21,0,False
2024-01-05,P015,WH1,Hybrid A,11,0,11,9,0,False
2024-01-06,P001,WH1,Hybrid A,26,0,26,90,0,False
2024-01-06,P002,WH1,Hybrid A,20,0,20,103,0,False
2024-01-06,P003,WH1,Hybrid A,1,0,1,154,0,False
2024-01-06,P004,WH1,Hybrid A,0,0,0,151,0,False
2024-01-06,P005,WH1,Hybrid A,31,0,31,97,0,False
2024-01-06,P006,WH1,Hybrid A,4,0,4,28,0,False
2024-01-06,P007,WH1,Hybrid A,9,0,9,12,0,False
2024-01-06,P008,WH1,Hybrid A,13,0,13,11,0,False
2024-01-06,P009,WH1,Hybrid A,0,0,0,19,0,False
2024-01-06,P010,WH1,Hybrid A,13,0,13,11,0,False
2024-01-06,P011,WH1,Hybrid A,5,0,5,4,0,False
2024-01-06,P012,WH1,Hybrid A,2,0,2,24,0,False
2024-01-06,P013,WH1,Hybrid A,14,0,14,1,0,False
2024-01-06,P014,WH1,Hybrid A,3,0,3,18,0,False
2024-01-06,P015,WH1,Hybrid A,2,0,2,7,0,False
2024-01-07,P001,WH1,Hybrid A,26,0,26,64,0,False
2024-01-07,P002,WH1,Hybrid A,22,0,22,81,0,False
2024-01-07,P003,WH1,Hybrid A,24,0,24,130,0,False
2024-01-07,P004,WH1,Hybrid A,10,0,10,141,0,False
2024-01-07,P005,WH1,Hybrid A,31,0,31,66,0,False
2024-01-07,P006,WH1,Hybrid A,14,0,14,14,0,False
2024-01-07,P007,WH1,Hybrid A,14,0,12,0,2,True
2024-01-07,P008,WH1,Hybrid A,12,0,11,0,1,True
2024-01-07,P009,WH1,Hybrid A,6,0,6,13,0,False
2024-01-07,P010,WH1,Hybrid A,20,0,11,0,9,True
2024-01-07,P011,WH1,Hybrid A,4,0,4,0,0,False
2024-01-07,P012,WH1,Hybrid A,11,0,11,13,0,False
